delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_min,estimated_delivery_time_min,actual_delivery_time_min
DEL_001173,ORD_001275,DRV_0017,8.11,24.2,47.0,46.3
DEL_001174,ORD_001276,DRV_0203,9.41,24.6,71.2,67.7
DEL_001175,ORD_001277,DRV_0262,9.34,12.8,63.1,69.6
DEL_001176,ORD_001278,DRV_0004,13.11,28.6,119.8,114.0
DEL_001177,ORD_001279,DRV_0137,1.79,19.1,31.6,30.0
DEL_001178,ORD_001280,DRV_0254,14.9,21.6,96.8,93.4
DEL_001179,ORD_001281,DRV_0180,20.0,28.9,88.8,108.9
DEL_001180,ORD_001282,DRV_0045,9.19,9.8,65.1,58.7
DEL_001181,ORD_001284,DRV_0109,2.97,19.0,36.6,29.5
DEL_001182,ORD_001285,DRV_0288,5.04,13.7,27.6,29.5
DEL_001183,ORD_001286,DRV_0256,2.38,15.7,19.9,25.0
DEL_001184,ORD_001288,DRV_0108,1.08,18.4,23.7,22.2
DEL_001185,ORD_001289,DRV_0210,5.68,32.6,71.0,76.5
DEL_001186,ORD_001290,DRV_0264,2.83,33.2,48.2,58.5
DEL_001187,ORD_001292,DRV_0114,5.46,23.0,50.0,48.5
DEL_001188,ORD_001293,DRV_0182,12.17,20.1,75.2,79.2
DEL_001189,ORD_001294,DRV_0215,6.14,25.1,47.3,53.2
DEL_001190,ORD_001295,DRV_0156,8.97,23.7,71.0,67.2
DEL_001191,ORD_001296,DRV_0203,1.69,22.5,28.0,28.8
DEL_001192,ORD_001297,DRV_0294,3.22,24.4,38.5,35.5
DEL_001193,ORD_001299,DRV_0128,3.67,25.3,40.7,38.9
DEL_001194,ORD_001300,DRV_0015,13.27,17.5,99.8,108.2
DEL_001195,ORD_001301,DRV_0007,10.92,33.1,97.6,98.2
DEL_001196,ORD_001302,DRV_0164,8.04,17.2,46.6,43.7
DEL_001197,ORD_001303,DRV_0097,2.34,15.1,22.7,22.8
DEL_001198,ORD_001305,DRV_0062,7.98,8.1,35.4,40.5
DEL_001199,ORD_001306,DRV_0122,9.72,21.4,52.2,52.7
DEL_001200,ORD_001307,DRV_0242,2.05,28.3,34.4,35.3
DEL_001201,ORD_001308,DRV_0114,1.55,26.1,32.7,37.4
DEL_001202,ORD_001309,DRV_0187,3.06,16.8,29.5,30.2
DEL_001203,ORD_001311,DRV_0011,1.95,20.5,29.1,30.7
DEL_001204,ORD_001312,DRV_0125,3.42,28.4,47.4,46.3
DEL_001205,ORD_001313,DRV_0270,8.97,9.5,41.8,41.6
DEL_001206,ORD_001314,DRV_0230,3.08,15.3,26.0,29.6
DEL_001207,ORD_001315,DRV_0023,6.99,12.9,61.9,55.1
DEL_001208,ORD_001316,DRV_0026,3.36,6.9,29.5,30.9
DEL_001209,ORD_001318,DRV_0071,4.2,20.9,30.6,39.0
DEL_001210,ORD_001319,DRV_0192,9.69,25.3,105.4,111.4
DEL_001211,ORD_001320,DRV_0052,7.97,23.8,49.1,53.0
DEL_001212,ORD_001321,DRV_0265,5.4,30.8,74.6,80.0
DEL_001213,ORD_001322,DRV_0217,2.51,20.0,32.4,34.6
DEL_001214,ORD_001323,DRV_0168,2.1,20.3,25.7,25.4
DEL_001215,ORD_001324,DRV_0050,15.24,32.9,118.9,109.1
DEL_001216,ORD_001325,DRV_0161,5.86,25.4,59.8,66.3
DEL_001217,ORD_001326,DRV_0137,3.44,26.1,37.8,39.1
DEL_001218,ORD_001327,DRV_0046,2.28,21.6,33.2,35.0
DEL_001219,ORD_001328,DRV_0128,3.67,19.7,30.0,33.4
DEL_001220,ORD_001329,DRV_0151,1.11,26.2,23.2,25.0
DEL_001221,ORD_001330,DRV_0169,5.68,27.9,74.2,61.7
DEL_001222,ORD_001331,DRV_0158,1.77,16.5,16.9,18.6
DEL_001223,ORD_001333,DRV_0123,2.87,30.2,44.4,40.2
DEL_001224,ORD_001334,DRV_0032,1.14,21.9,19.7,25.1
DEL_001225,ORD_001335,DRV_0208,19.47,15.9,112.3,124.1
DEL_001226,ORD_001336,DRV_0220,11.0,12.2,68.3,62.3
DEL_001227,ORD_001337,DRV_0230,3.43,12.3,28.3,28.1
DEL_001228,ORD_001338,DRV_0167,14.26,24.6,86.8,98.1
DEL_001229,ORD_001340,DRV_0143,3.31,17.8,22.6,25.5
DEL_001230,ORD_001341,DRV_0252,3.09,30.9,45.8,44.6
DEL_001231,ORD_001342,DRV_0022,5.26,30.7,41.2,42.6
DEL_001232,ORD_001343,DRV_0216,7.73,17.1,41.8,45.4
DEL_001233,ORD_001344,DRV_0229,4.39,15.3,51.9,46.9
DEL_001234,ORD_001345,DRV_0251,5.79,10.5,42.7,48.2
DEL_001235,ORD_001346,DRV_0167,2.78,30.4,47.5,52.7
DEL_001236,ORD_001347,DRV_0171,11.37,31.8,77.0,81.3
DEL_001237,ORD_001348,DRV_0215,3.34,23.6,36.6,40.8
DEL_001238,ORD_001349,DRV_0119,3.36,12.6,20.4,22.6
DEL_001239,ORD_001350,DRV_0211,5.98,28.0,58.3,52.2
DEL_001240,ORD_001351,DRV_0056,5.85,14.3,29.5,38.0
DEL_001241,ORD_001352,DRV_0200,8.34,16.8,40.3,52.2
DEL_001242,ORD_001353,DRV_0206,2.61,26.1,38.2,40.6
DEL_001243,ORD_001354,DRV_0025,8.04,28.1,50.6,58.6
DEL_001244,ORD_001355,DRV_0152,6.9,10.0,42.3,48.5
DEL_001245,ORD_001356,DRV_0118,5.25,22.0,51.7,52.9
DEL_001246,ORD_001357,DRV_0292,2.44,15.2,27.7,34.2
DEL_001247,ORD_001358,DRV_0064,5.81,17.2,42.4,46.4
DEL_001248,ORD_001359,DRV_0271,9.36,30.8,68.8,84.3
DEL_001249,ORD_001360,DRV_0085,2.68,29.5,43.1,45.6
DEL_001250,ORD_001362,DRV_0178,6.54,26.3,43.9,48.5
DEL_001251,ORD_001363,DRV_0036,7.04,34.2,61.8,62.4
DEL_001252,ORD_001364,DRV_0071,5.05,36.5,48.6,46.3
DEL_001253,ORD_001365,DRV_0268,2.17,25.7,35.2,36.1
DEL_001254,ORD_001366,DRV_0054,2.31,22.7,29.2,32.8
DEL_001255,ORD_001367,DRV_0091,7.39,22.4,69.3,61.8
DEL_001256,ORD_001368,DRV_0275,10.41,17.3,63.3,71.0
DEL_001257,ORD_001369,DRV_0059,5.97,23.1,44.6,51.3
DEL_001258,ORD_001370,DRV_0219,5.18,23.7,42.4,42.6
DEL_001259,ORD_001372,DRV_0271,2.74,17.5,29.6,32.6
DEL_001260,ORD_001373,DRV_0008,6.29,25.0,51.1,53.4
DEL_001261,ORD_001374,DRV_0237,5.08,25.8,52.0,47.7
DEL_001262,ORD_001375,DRV_0170,5.95,27.7,51.8,50.3
DEL_001263,ORD_001376,DRV_0003,4.06,19.9,40.4,41.0
DEL_001264,ORD_001377,DRV_0108,3.77,10.8,21.7,21.4
DEL_001265,ORD_001378,DRV_0122,14.21,21.2,99.5,92.1
DEL_001266,ORD_001379,DRV_0034,9.34,13.9,54.2,62.1
DEL_001267,ORD_001381,DRV_0243,4.98,14.8,55.8,48.4
DEL_001268,ORD_001382,DRV_0149,4.26,21.6,40.8,40.9
DEL_001269,ORD_001383,DRV_0148,8.67,8.2,58.3,56.1
DEL_001270,ORD_001384,DRV_0252,2.13,29.6,30.1,30.8
DEL_001271,ORD_001385,DRV_0110,8.86,25.9,111.6,104.5
DEL_001272,ORD_001386,DRV_0172,8.42,15.1,64.1,58.3
DEL_001273,ORD_001387,DRV_0250,0.89,23.2,24.8,21.5
DEL_001274,ORD_001388,DRV_0070,1.58,37.9,62.7,54.6
DEL_001275,ORD_001389,DRV_0278,1.49,15.6,21.8,23.0
DEL_001276,ORD_001390,DRV_0031,0.94,13.2,13.8,15.3
DEL_001277,ORD_001391,DRV_0200,3.53,18.2,37.9,38.5
DEL_001278,ORD_001392,DRV_0165,4.13,29.6,51.4,50.5
DEL_001279,ORD_001393,DRV_0017,4.74,15.3,49.2,50.1
DEL_001280,ORD_001394,DRV_0234,1.84,18.1,25.5,23.6
DEL_001281,ORD_001395,DRV_0049,4.16,25.4,47.4,47.7
DEL_001282,ORD_001396,DRV_0122,7.13,28.9,63.3,65.0
DEL_001283,ORD_001397,DRV_0195,2.97,18.1,36.1,39.9
DEL_001284,ORD_001398,DRV_0225,7.84,20.8,60.2,64.9
DEL_001285,ORD_001399,DRV_0127,4.91,20.9,31.2,33.7
DEL_001286,ORD_001400,DRV_0030,5.55,22.4,52.5,57.1
DEL_001287,ORD_001401,DRV_0274,3.78,14.3,47.9,43.2
DEL_001288,ORD_001402,DRV_0053,14.94,11.3,110.0,96.5
DEL_001289,ORD_001403,DRV_0008,4.42,26.9,52.9,57.9
DEL_001290,ORD_001404,DRV_0065,1.53,12.5,26.7,29.4
DEL_001291,ORD_001405,DRV_0279,3.24,29.3,35.4,38.8
DEL_001292,ORD_001406,DRV_0259,6.88,27.6,61.8,55.6
DEL_001293,ORD_001409,DRV_0032,12.72,29.6,70.6,84.4
DEL_001294,ORD_001410,DRV_0183,11.19,24.2,83.3,92.9
DEL_001295,ORD_001411,DRV_0241,9.59,20.5,49.6,46.0
DEL_001296,ORD_001412,DRV_0262,8.27,25.1,79.9,61.5
DEL_001297,ORD_001413,DRV_0291,2.51,9.0,24.0,24.9
DEL_001298,ORD_001414,DRV_0144,4.02,16.9,26.9,33.0
DEL_001299,ORD_001415,DRV_0292,0.95,25.4,27.2,26.6
DEL_001300,ORD_001416,DRV_0187,6.06,13.4,32.6,30.4
DEL_001301,ORD_001418,DRV_0081,6.11,16.3,43.8,42.9
DEL_001302,ORD_001420,DRV_0102,6.33,17.5,38.2,49.0
DEL_001303,ORD_001421,DRV_0271,10.16,31.5,84.7,82.5
DEL_001304,ORD_001422,DRV_0179,4.82,20.3,28.6,30.5
DEL_001305,ORD_001423,DRV_0178,2.62,26.0,40.3,44.0
DEL_001306,ORD_001425,DRV_0110,5.12,16.5,35.1,38.9
DEL_001307,ORD_001426,DRV_0177,3.99,29.5,49.9,54.4
DEL_001308,ORD_001427,DRV_0141,1.98,28.1,29.9,31.9
DEL_001309,ORD_001428,DRV_0253,10.75,23.2,57.8,62.5
DEL_001310,ORD_001429,DRV_0268,2.57,18.2,27.3,29.9
DEL_001311,ORD_001430,DRV_0218,5.83,28.3,56.6,53.6
DEL_001312,ORD_001431,DRV_0051,8.55,22.6,57.9,55.2
DEL_001313,ORD_001432,DRV_0283,1.57,16.2,24.0,26.6
DEL_001314,ORD_001433,DRV_0296,5.08,18.1,38.3,36.7
DEL_001315,ORD_001434,DRV_0042,7.01,11.2,39.4,41.0
DEL_001316,ORD_001435,DRV_0071,1.83,20.1,31.3,32.4
DEL_001317,ORD_001436,DRV_0219,9.71,14.0,57.4,51.8
DEL_001318,ORD_001437,DRV_0130,8.09,27.9,88.8,82.4
DEL_001319,ORD_001438,DRV_0016,4.73,23.7,42.4,45.0
DEL_001320,ORD_001439,DRV_0131,2.2,9.7,15.1,14.8
DEL_001321,ORD_001441,DRV_0050,6.18,22.2,43.6,43.5
DEL_001322,ORD_001442,DRV_0189,7.18,23.3,47.4,52.4
DEL_001323,ORD_001443,DRV_0195,6.87,25.2,71.8,69.3
DEL_001324,ORD_001444,DRV_0202,2.65,17.3,42.8,40.6
DEL_001325,ORD_001445,DRV_0298,1.82,17.0,24.0,27.2
DEL_001326,ORD_001446,DRV_0028,8.31,25.1,68.9,64.4
DEL_001327,ORD_001447,DRV_0240,1.74,30.5,49.7,41.4
DEL_001328,ORD_001448,DRV_0035,9.59,20.2,64.2,64.7
DEL_001329,ORD_001449,DRV_0021,3.75,18.5,29.3,34.4
DEL_001330,ORD_001450,DRV_0243,6.22,21.5,63.0,67.4
DEL_001331,ORD_001451,DRV_0293,9.46,16.2,51.1,54.7
DEL_001332,ORD_001452,DRV_0097,16.0,25.5,106.4,123.2
DEL_001333,ORD_001453,DRV_0227,5.46,29.2,45.0,47.7
DEL_001334,ORD_001454,DRV_0186,9.12,17.4,61.5,69.1
DEL_001335,ORD_001456,DRV_0178,1.41,24.8,37.3,39.4
DEL_001336,ORD_001457,DRV_0262,4.23,42.7,67.0,62.7
DEL_001337,ORD_001458,DRV_0130,1.5,35.5,46.2,42.5
DEL_001338,ORD_001459,DRV_0147,1.29,41.7,53.3,48.6
DEL_001339,ORD_001460,DRV_0097,3.93,25.5,29.8,37.4
DEL_001340,ORD_001461,DRV_0168,20.0,8.1,87.1,93.7
DEL_001341,ORD_001462,DRV_0008,2.22,16.4,25.3,27.0
DEL_001342,ORD_001463,DRV_0020,3.0,24.7,45.2,45.5
DEL_001343,ORD_001464,DRV_0020,3.33,11.6,31.9,31.1
DEL_001344,ORD_001466,DRV_0300,10.05,19.7,65.0,66.4
DEL_001345,ORD_001467,DRV_0236,5.87,32.6,59.8,53.3
DEL_001346,ORD_001468,DRV_0164,2.59,23.7,37.1,39.1
DEL_001347,ORD_001469,DRV_0162,8.3,29.2,80.5,80.1
DEL_001348,ORD_001470,DRV_0262,2.71,26.8,35.6,41.1
DEL_001349,ORD_001471,DRV_0182,4.42,28.1,48.8,46.7
DEL_001350,ORD_001472,DRV_0118,4.65,25.2,51.0,49.7
DEL_001351,ORD_001473,DRV_0278,6.77,14.2,55.1,46.7
DEL_001352,ORD_001474,DRV_0216,10.19,21.0,76.8,71.7
DEL_001353,ORD_001475,DRV_0063,4.59,24.0,36.4,34.0
DEL_001354,ORD_001476,DRV_0149,3.6,15.1,37.8,35.7
DEL_001355,ORD_001477,DRV_0292,2.65,29.2,38.6,42.9
DEL_001356,ORD_001478,DRV_0284,1.49,28.8,37.6,35.1
DEL_001357,ORD_001479,DRV_0092,4.14,9.0,19.7,24.0
DEL_001358,ORD_001480,DRV_0224,2.15,28.1,30.1,36.0
DEL_001359,ORD_001481,DRV_0134,2.74,10.5,19.1,21.7
DEL_001360,ORD_001483,DRV_0124,3.38,22.5,43.1,44.4
DEL_001361,ORD_001484,DRV_0080,2.72,21.6,36.3,45.0
DEL_001362,ORD_001485,DRV_0249,3.43,31.5,49.2,53.3
DEL_001363,ORD_001486,DRV_0011,0.63,30.3,26.2,28.1
DEL_001364,ORD_001487,DRV_0045,7.75,34.0,108.5,92.2
DEL_001365,ORD_001488,DRV_0104,7.32,25.3,60.6,59.1
DEL_001366,ORD_001489,DRV_0040,1.3,24.9,28.9,30.5
DEL_001367,ORD_001490,DRV_0219,10.17,28.4,53.7,75.8
DEL_001368,ORD_001491,DRV_0169,3.73,34.2,48.5,50.7
DEL_001369,ORD_001492,DRV_0144,1.69,16.0,31.8,27.4
DEL_001370,ORD_001493,DRV_0164,2.62,21.5,38.3,39.2
DEL_001371,ORD_001494,DRV_0212,4.83,28.5,58.1,62.6
DEL_001372,ORD_001495,DRV_0037,10.99,23.6,66.7,65.5
DEL_001373,ORD_001496,DRV_0119,6.97,25.4,50.0,49.2
DEL_001374,ORD_001497,DRV_0241,4.91,23.4,30.9,34.4
DEL_001375,ORD_001498,DRV_0195,13.51,38.8,82.4,95.8
DEL_001376,ORD_001499,DRV_0281,3.32,25.9,60.7,49.3
DEL_001377,ORD_001500,DRV_0019,6.35,25.8,57.8,54.4
DEL_001378,ORD_001501,DRV_0103,6.59,16.5,41.9,47.3
DEL_001379,ORD_001502,DRV_0167,3.55,16.4,43.2,40.5
DEL_001380,ORD_001503,DRV_0215,3.15,22.6,49.0,45.9
DEL_001381,ORD_001504,DRV_0177,5.22,16.2,39.5,43.1
DEL_001382,ORD_001505,DRV_0024,3.84,21.2,43.0,44.4
DEL_001383,ORD_001506,DRV_0128,13.81,20.9,74.9,78.6
DEL_001384,ORD_001507,DRV_0218,2.0,18.4,27.7,26.9
DEL_001385,ORD_001508,DRV_0282,2.24,24.9,33.3,41.1
DEL_001386,ORD_001509,DRV_0110,17.06,13.2,127.4,122.9
DEL_001387,ORD_001510,DRV_0206,5.99,9.5,47.1,46.4
DEL_001388,ORD_001511,DRV_0136,8.41,13.5,68.3,63.9
DEL_001389,ORD_001512,DRV_0297,1.98,19.5,26.5,22.4
DEL_001390,ORD_001513,DRV_0148,11.0,22.3,83.5,87.6
DEL_001391,ORD_001514,DRV_0249,5.61,29.1,57.0,56.9
DEL_001392,ORD_001515,DRV_0205,12.51,19.3,97.4,99.6
DEL_001393,ORD_001516,DRV_0180,6.85,27.9,64.8,64.8
DEL_001394,ORD_001517,DRV_0087,4.74,21.8,43.3,40.4
DEL_001395,ORD_001518,DRV_0065,2.3,24.8,29.9,35.3
DEL_001396,ORD_001519,DRV_0019,3.24,24.6,38.0,48.8
DEL_001397,ORD_001520,DRV_0298,7.94,27.3,45.0,50.5
DEL_001398,ORD_001521,DRV_0138,4.48,20.4,64.0,57.9
DEL_001399,ORD_001522,DRV_0212,2.34,19.3,27.3,27.8
DEL_001400,ORD_001523,DRV_0051,4.59,23.3,51.1,45.4
DEL_001401,ORD_001524,DRV_0254,11.42,25.9,79.1,78.7
DEL_001402,ORD_001525,DRV_0284,6.05,21.0,41.9,43.2
DEL_001403,ORD_001526,DRV_0063,1.61,22.0,34.4,35.9
DEL_001404,ORD_001527,DRV_0108,5.95,13.9,39.3,44.3
DEL_001405,ORD_001528,DRV_0076,16.99,31.8,89.2,89.1
DEL_001406,ORD_001529,DRV_0020,7.72,16.2,71.1,59.4
DEL_001407,ORD_001531,DRV_0020,7.77,21.1,50.9,49.1
DEL_001408,ORD_001533,DRV_0073,2.72,28.8,41.0,44.8
DEL_001409,ORD_001534,DRV_0129,16.27,21.3,68.3,80.6
DEL_001410,ORD_001535,DRV_0143,1.37,23.1,30.3,26.5
DEL_001411,ORD_001536,DRV_0095,10.33,24.0,84.5,66.3
DEL_001412,ORD_001537,DRV_0267,6.22,40.1,63.7,59.6
DEL_001413,ORD_001538,DRV_0227,7.89,5.0,35.1,35.6
DEL_001414,ORD_001539,DRV_0238,2.23,35.0,57.9,50.1
DEL_001415,ORD_001540,DRV_0255,7.59,19.9,74.0,66.5
DEL_001416,ORD_001541,DRV_0123,7.29,31.1,66.3,63.6
DEL_001417,ORD_001542,DRV_0295,5.81,24.3,50.7,49.9
DEL_001418,ORD_001543,DRV_0170,12.43,18.7,57.6,52.2
DEL_001419,ORD_001544,DRV_0265,6.5,13.8,33.0,39.4
DEL_001420,ORD_001545,DRV_0054,8.07,16.2,39.6,50.6
DEL_001421,ORD_001546,DRV_0097,2.06,19.1,22.1,21.9
DEL_001422,ORD_001547,DRV_0100,2.98,23.7,26.8,25.6
DEL_001423,ORD_001548,DRV_0143,13.38,18.7,67.3,75.2
DEL_001424,ORD_001549,DRV_0124,8.93,18.5,91.8,99.7
DEL_001425,ORD_001550,DRV_0016,2.57,21.7,42.1,40.2
DEL_001426,ORD_001551,DRV_0151,5.72,16.9,43.3,41.4
DEL_001427,ORD_001552,DRV_0104,8.43,31.0,59.5,60.1
DEL_001428,ORD_001554,DRV_0163,6.3,34.2,70.9,64.7
DEL_001429,ORD_001555,DRV_0152,2.31,10.9,21.4,21.9
DEL_001430,ORD_001556,DRV_0020,6.34,22.2,55.5,52.4
DEL_001431,ORD_001557,DRV_0282,4.36,19.4,31.3,36.7
DEL_001432,ORD_001558,DRV_0200,6.88,25.8,47.9,52.6
DEL_001433,ORD_001559,DRV_0156,3.82,21.1,37.5,39.5
DEL_001434,ORD_001560,DRV_0099,3.18,13.6,25.2,26.6
DEL_001435,ORD_001561,DRV_0108,7.47,28.8,66.0,71.3
DEL_001436,ORD_001562,DRV_0062,7.5,27.3,70.6,70.4
DEL_001437,ORD_001563,DRV_0275,5.11,21.0,36.1,44.1
DEL_001438,ORD_001564,DRV_0022,4.99,15.8,35.9,36.8
DEL_001439,ORD_001565,DRV_0104,9.2,12.5,42.7,43.2
DEL_001440,ORD_001566,DRV_0018,10.5,29.4,75.3,75.6
DEL_001441,ORD_001567,DRV_0297,2.03,7.4,8.8,8.9
DEL_001442,ORD_001568,DRV_0180,0.74,23.2,18.5,18.8
DEL_001443,ORD_001569,DRV_0085,12.3,20.9,92.0,100.0
DEL_001444,ORD_001571,DRV_0299,14.41,35.0,89.5,84.9
DEL_001445,ORD_001572,DRV_0099,3.86,13.7,41.8,40.1
DEL_001446,ORD_001573,DRV_0082,1.03,39.6,52.2,50.6
DEL_001447,ORD_001574,DRV_0162,2.02,28.0,42.5,47.0
DEL_001448,ORD_001575,DRV_0001,6.44,21.6,81.2,70.1
DEL_001449,ORD_001576,DRV_0058,4.13,18.8,23.2,29.1
DEL_001450,ORD_001577,DRV_0252,20.0,25.6,116.5,130.0
DEL_001451,ORD_001578,DRV_0142,4.4,24.3,41.7,44.2
DEL_001452,ORD_001579,DRV_0085,2.15,14.0,18.7,15.8
DEL_001453,ORD_001580,DRV_0017,3.79,17.5,54.6,51.0
DEL_001454,ORD_001581,DRV_0050,6.18,16.8,40.2,41.5
DEL_001455,ORD_001583,DRV_0162,10.98,16.9,68.0,59.3
DEL_001456,ORD_001585,DRV_0177,6.46,23.1,47.5,57.7
DEL_001457,ORD_001586,DRV_0250,4.8,24.6,51.5,54.7
DEL_001458,ORD_001587,DRV_0014,3.91,11.3,34.9,34.0
DEL_001459,ORD_001588,DRV_0237,6.16,13.7,38.4,37.9
DEL_001460,ORD_001589,DRV_0105,2.88,30.4,35.1,41.5
DEL_001461,ORD_001590,DRV_0294,8.03,23.8,55.8,59.7
DEL_001462,ORD_001591,DRV_0071,7.48,9.6,34.5,29.4
DEL_001463,ORD_001592,DRV_0262,6.0,22.6,50.6,54.7
DEL_001464,ORD_001593,DRV_0084,8.1,19.9,72.8,66.9
DEL_001465,ORD_001594,DRV_0135,1.65,15.4,23.4,23.6
DEL_001466,ORD_001595,DRV_0265,15.1,26.5,114.5,103.3
DEL_001467,ORD_001596,DRV_0024,4.24,13.4,45.9,46.6
DEL_001468,ORD_001597,DRV_0001,9.21,20.9,52.8,71.8
DEL_001469,ORD_001598,DRV_0114,7.71,16.0,92.5,87.6
DEL_001470,ORD_001599,DRV_0269,8.84,18.9,64.5,71.4
DEL_001471,ORD_001600,DRV_0172,8.26,8.9,54.0,58.3
DEL_001472,ORD_001601,DRV_0101,3.61,27.5,38.5,44.5
DEL_001473,ORD_001602,DRV_0199,7.96,29.8,60.7,72.1
DEL_001474,ORD_001603,DRV_0118,0.93,24.5,25.3,28.6
DEL_001475,ORD_001604,DRV_0196,2.49,29.5,40.4,40.7
DEL_001476,ORD_001605,DRV_0160,5.57,29.2,58.6,58.1
DEL_001477,ORD_001606,DRV_0211,4.21,24.7,53.3,48.2
DEL_001478,ORD_001607,DRV_0182,1.73,34.0,45.8,43.3
DEL_001479,ORD_001608,DRV_0130,5.4,38.7,68.2,67.6
DEL_001480,ORD_001609,DRV_0014,13.5,16.2,87.1,78.8
DEL_001481,ORD_001611,DRV_0043,6.23,17.8,39.3,42.2
DEL_001482,ORD_001612,DRV_0075,4.58,21.0,34.5,34.1
DEL_001483,ORD_001613,DRV_0129,2.54,27.0,37.3,33.5
DEL_001484,ORD_001614,DRV_0084,3.39,17.7,37.4,38.3
DEL_001485,ORD_001615,DRV_0127,7.99,21.2,44.5,49.9
DEL_001486,ORD_001616,DRV_0283,4.62,23.9,33.8,33.8
DEL_001487,ORD_001617,DRV_0150,5.04,19.4,29.5,38.2
DEL_001488,ORD_001618,DRV_0298,3.71,15.7,41.8,37.3
DEL_001489,ORD_001619,DRV_0031,15.86,27.2,138.2,115.1
DEL_001490,ORD_001620,DRV_0018,11.23,17.7,72.6,69.0
DEL_001491,ORD_001622,DRV_0045,6.83,27.4,52.3,54.2
DEL_001492,ORD_001623,DRV_0128,2.2,6.5,11.1,12.0
DEL_001493,ORD_001624,DRV_0218,4.83,29.0,48.2,50.7
DEL_001494,ORD_001625,DRV_0221,7.33,17.2,48.4,53.2
DEL_001495,ORD_001626,DRV_0248,5.32,20.6,60.9,53.0
DEL_001496,ORD_001627,DRV_0037,16.76,34.1,102.5,149.7
DEL_001497,ORD_001628,DRV_0160,6.19,27.6,58.4,60.2
DEL_001498,ORD_001629,DRV_0194,5.69,11.8,42.7,41.7
DEL_001499,ORD_001630,DRV_0296,2.8,25.7,34.2,36.2
DEL_001500,ORD_001631,DRV_0235,6.87,20.9,57.5,62.5
DEL_001501,ORD_001632,DRV_0254,10.76,21.6,68.2,67.5
DEL_001502,ORD_001633,DRV_0055,2.82,10.6,20.2,21.7
DEL_001503,ORD_001634,DRV_0248,3.13,19.7,33.2,30.6
DEL_001504,ORD_001635,DRV_0267,10.64,24.8,55.9,59.7
DEL_001505,ORD_001637,DRV_0199,5.85,21.8,43.6,45.8
DEL_001506,ORD_001640,DRV_0098,13.27,15.7,68.0,71.0
DEL_001507,ORD_001641,DRV_0267,1.58,17.4,28.2,25.9
DEL_001508,ORD_001643,DRV_0226,2.24,26.3,34.5,38.2
DEL_001509,ORD_001644,DRV_0010,3.15,12.3,23.3,25.4
DEL_001510,ORD_001645,DRV_0050,3.52,14.5,32.7,29.0
DEL_001511,ORD_001647,DRV_0118,5.28,27.6,70.9,58.6
DEL_001512,ORD_001648,DRV_0012,3.69,22.2,28.3,31.1
DEL_001513,ORD_001649,DRV_0259,9.97,33.8,97.5,91.4
DEL_001514,ORD_001650,DRV_0252,4.54,25.2,40.3,49.9
DEL_001515,ORD_001651,DRV_0133,0.96,17.4,26.7,22.3
DEL_001516,ORD_001652,DRV_0185,11.05,21.4,75.6,71.0
DEL_001517,ORD_001653,DRV_0132,5.32,24.3,59.9,59.0
DEL_001518,ORD_001654,DRV_0192,4.05,19.1,36.2,40.9
DEL_001519,ORD_001656,DRV_0258,10.03,16.7,61.8,60.3
DEL_001520,ORD_001657,DRV_0034,1.66,26.9,30.4,32.2
DEL_001521,ORD_001658,DRV_0256,4.64,5.0,18.9,19.5
DEL_001522,ORD_001659,DRV_0194,3.61,39.2,50.9,54.8
DEL_001523,ORD_001660,DRV_0092,1.54,29.7,34.5,34.0
DEL_001524,ORD_001661,DRV_0255,5.96,30.0,62.7,59.6
DEL_001525,ORD_001662,DRV_0163,3.56,26.4,36.6,38.0
DEL_001526,ORD_001663,DRV_0054,5.74,15.9,46.3,42.2
DEL_001527,ORD_001664,DRV_0225,3.45,36.7,39.6,52.4
DEL_001528,ORD_001665,DRV_0065,0.53,31.3,35.5,32.2
DEL_001529,ORD_001666,DRV_0158,1.94,24.2,23.1,27.6
DEL_001530,ORD_001667,DRV_0070,7.48,10.0,52.7,47.4
DEL_001531,ORD_001668,DRV_0251,2.96,33.8,52.3,54.0
DEL_001532,ORD_001669,DRV_0175,5.03,11.9,34.1,34.9
DEL_001533,ORD_001670,DRV_0277,1.25,19.3,26.5,24.0
DEL_001534,ORD_001672,DRV_0272,3.2,16.9,28.8,34.0
DEL_001535,ORD_001673,DRV_0196,7.44,22.9,67.8,64.5
DEL_001536,ORD_001674,DRV_0291,10.42,7.9,79.1,68.2
DEL_001537,ORD_001675,DRV_0215,9.81,24.3,77.3,69.7
DEL_001538,ORD_001676,DRV_0124,3.91,40.4,58.3,61.8
DEL_001539,ORD_001677,DRV_0243,2.84,9.3,39.4,37.7
DEL_001540,ORD_001678,DRV_0185,0.9,30.0,32.8,29.6
DEL_001541,ORD_001679,DRV_0230,12.74,19.4,78.1,84.2
DEL_001542,ORD_001680,DRV_0100,6.47,24.2,55.7,55.3
DEL_001543,ORD_001682,DRV_0115,7.48,24.8,64.4,62.4
DEL_001544,ORD_001683,DRV_0290,9.19,19.0,59.8,57.3
DEL_001545,ORD_001684,DRV_0077,11.94,34.2,69.1,78.2
DEL_001546,ORD_001685,DRV_0116,0.83,14.3,19.0,20.8
DEL_001547,ORD_001686,DRV_0140,5.14,29.7,48.2,48.9
DEL_001548,ORD_001687,DRV_0076,2.03,23.5,35.6,29.9
